Categorization System,,,,,
0 North America,,,,,
,00 Americana,,,,
,,000 Chicken,,,
,,,000.0 Breast,,
,,,,000.00 Oven,
,,,,000.01 Stovetop,
,,,,000.02 Grill,
,,,,000.03 Pressure Cook,
,,,,000.04 Slow Cooker,
,,,,000.05 Sous Vide,
,,,000.1 Thigh,,
,,,,000.00 Oven,
,,,,000.01 Stovetop,
,,,,000.02 Grill,
,,,,000.03 Pressure Cook,
,,,,000.04 Slow Cooker,
,,,,000.05 Sous Vide,
,,,000.2 Wing,,
,,,,000.00 Oven,
,,,,000.01 Stovetop,
,,,,000.02 Grill,
,,,,000.03 Pressure Cook,
,,,,000.04 Slow Cooker,
,,,,000.05 Sous Vide,
,,,000.3 Drumstick,,
,,,,000.00 Oven,
,,,,000.01 Stovetop,
,,,,000.02 Grill,
,,,,000.03 Pressure Cook,
,,,,000.04 Slow Cooker,
,,,,000.05 Sous Vide,
,,,000.4 Ground,,
,,,,000.00 Oven,
,,,,000.01 Stovetop,
,,,,000.02 Grill,
,,,,000.03 Pressure Cook,
,,,,000.04 Slow Cooker,
,,,,000.05 Sous Vide,
,,001 Beef,,,
,,,001.1 Skirt/Flank,,
,,,,001.10 Oven,
,,,,001.11 Stovetop,
,,,,001.12 Grill,
,,,,001.13 Pressure Cook,
,,,,001.14 Slow Cooker,
,,,,001.15 Sous Vide,
,,,001.2 Brisket,,
,,,,001.20 Oven,
,,,,001.21 Stovetop,
,,,,001.22 Grill,
,,,,001.23 Pressure Cook,
,,,,001.24 Slow Cooker,
,,,,001.25 Sous Vide,
,,,001.3 Round,,
,,,,001.30 Oven,
,,,,001.31 Stovetop,
,,,,001.32 Grill,
,,,,001.33 Pressure Cook,
,,,,001.34 Slow Cooker,
,,,,001.35 Sous Vide,
,,,001.4 Ground,,
,,,,001.40 Oven,
,,,,001.41 Stovetop,
,,,,001.42 Grill,
,,,,001.43 Pressure Cook,
,,,,001.44 Slow Cooker,
,,,,001.45 Sous Vide,
,,,001.5 Chuck,,
,,,,001.50 Oven,
,,,,001.51 Stovetop,
,,,,001.52 Grill,
,,,,001.53 Pressure Cook,
,,,,001.54 Slow Cooker,
,,,,001.55 Sous Vide,
,,,001.6 Loin,,
,,,,001.60 Oven,
,,,,001.61 Stovetop,
,,,,001.62 Grill,
,,,,001.63 Pressure Cook,
,,,,001.64 Slow Cooker,
,,,,001.65 Sous Vide,
,,002 Pork,,,
,,,002.0 Butt/Shoulder,,
,,,,002.00 Oven,
,,,,002.01 Stovetop,
,,,,002.02 Grill,
,,,,002.03 Pressure Cook,
,,,,002.04 Slow Cooker,
,,,,002.05 Sous Vide,
,,,002.1 Loin,,
,,,,002.10 Oven,
,,,,002.11 Stovetop,
,,,,002.12 Grill,
,,,,002.13 Pressure Cook,
,,,,002.14 Slow Cooker,
,,,,002.15 Sous Vide,
,,,002.2 Ribs,,
,,,,002.20 Oven,
,,,,002.21 Stovetop,
,,,,002.22 Grill,
,,,,002.23 Pressure Cook,
,,,,002.24 Slow Cooker,
,,,,002.25 Sous Vide,
,,,002.3 Tenderloin,,
,,,,002.30 Oven,
,,,,002.31 Stovetop,
,,,,002.32 Grill,
,,,,002.33 Pressure Cook,
,,,,002.34 Slow Cooker,
,,,,002.35 Sous Vide,
,,,002.4 Chop,,
,,,,002.40 Oven,
,,,,002.41 Stovetop,
,,,,002.42 Grill,
,,,,002.43 Pressure Cook,
,,,,002.44 Slow Cooker,
,,,,002.45 Sous Vide,
,,,002.5 Belly,,
,,,,002.50 Oven,
,,,,002.51 Stovetop,
,,,,002.52 Grill,
,,,,002.53 Pressure Cook,
,,,,002.54 Slow Cooker,
,,,,002.55 Sous Vide,
,,003 Fish,,,
,,,003.0 Salmon,,
,,,,003.00 Oven,
,,,,003.01 Stovetop,
,,,,003.02 Grill,
,,,,003.03 Pressure Cook,
,,,,003.04 Slow Cooker,
,,,,003.05 Sous Vide,
,,,,003.06 Raw,
,,,003.1 Tuna,,
,,,,003.10 Oven,
,,,,003.11 Stovetop,
,,,,003.12 Grill,
,,,,003.13 Pressure Cook,
,,,,003.14 Slow Cooker,
,,,,003.15 Sous Vide,
,,,,003.16 Raw,
,,,003.2 Cod,,
,,,,003.20 Oven,
,,,,003.21 Stovetop,
,,,,003.22 Grill,
,,,,003.23 Pressure Cook,
,,,,003.24 Slow Cooker,
,,,,003.25 Sous Vide,
,,,,003.26 Raw,
,,,003.3 Tilapia,,
,,,,003.30 Oven,
,,,,003.31 Stovetop,
,,,,003.32 Grill,
,,,,003.33 Pressure Cook,
,,,,003.34 Slow Cooker,
,,,,003.35 Sous Vide,
,,,,003.36 Raw,
,,,003.4 Swordfish,,
,,,,003.40 Oven,
,,,,003.41 Stovetop,
,,,,003.42 Grill,
,,,,003.43 Pressure Cook,
,,,,003.44 Slow Cooker,
,,,,003.45 Sous Vide,
,,,,003.46 Raw,
,,,003.5 Trout,,
,,,,003.50 Oven,
,,,,003.51 Stovetop,
,,,,003.52 Grill,
,,,,003.53 Pressure Cook,
,,,,003.54 Slow Cooker,
,,,,003.55 Sous Vide,
,,,,003.56 Raw,
,,004 Shelfish,,,
,,,004.0 Shrimp,,
,,,,004.00 Oven,
,,,,004.01 Stovetop,
,,,,004.02 Grill,
,,,,004.03 Pressure Cook,
,,,,004.04 Slow Cooker,
,,,,004.05 Sous Vide,
,,,,004.06 Raw,
,,,004.1 Crab,,
,,,,004.10 Oven,
,,,,004.11 Stovetop,
,,,,004.12 Grill,
,,,,004.13 Pressure Cook,
,,,,004.14 Slow Cooker,
,,,,004.15 Sous Vide,
,,,,004.16 Raw,
,,,004.2 Clam,,
,,,,004.20 Oven,
,,,,004.21 Stovetop,
,,,,004.22 Grill,
,,,,004.23 Pressure Cook,
,,,,004.24 Slow Cooker,
,,,,004.25 Sous Vide,
,,,,004.26 Raw,
,,,004.3 Lobster,,
,,,,004.30 Oven,
,,,,004.31 Stovetop,
,,,,004.32 Grill,
,,,,004.33 Pressure Cook,
,,,,004.34 Slow Cooker,
,,,,004.35 Sous Vide,
,,,,004.36 Raw,
,,,004.4 Scallops,,
,,,,004.40 Oven,
,,,,004.41 Stovetop,
,,,,004.42 Grill,
,,,,004.43 Pressure Cook,
,,,,004.44 Slow Cooker,
,,,,004.45 Sous Vide,
,,,,004.46 Raw,
,,,004.5 Mussels,,
,,,,004.50 Oven,
,,,,004.51 Stovetop,
,,,,004.52 Grill,
,,,,004.53 Pressure Cook,
,,,,004.54 Slow Cooker,
,,,,004.55 Sous Vide,
,,,,004.56 Raw,
,,005 Plant Protein,,,
,,,005.0 Tofu,,
,,,,005.00 Oven,
,,,,005.01 Stovetop,
,,,,005.02 Grill,
,,,,005.03 Pressure Cook,
,,,,005.04 Slow Cooker,
,,,,005.05 Sous Vide,
,,,,005.06 Raw,
,,,005.1 Seitan,,
,,,,005.10 Oven,
,,,,005.11 Stovetop,
,,,,005.12 Grill,
,,,,005.13 Pressure Cook,
,,,,005.14 Slow Cooker,
,,,,005.15 Sous Vide,
,,,,005.16 Raw,
,,,005.2 Tempeh,,
,,,,005.20 Oven,
,,,,005.21 Stovetop,
,,,,005.22 Grill,
,,,,005.23 Pressure Cook,
,,,,005.24 Slow Cooker,
,,,,005.25 Sous Vide,
,,,,005.26 Raw,
,,,"005.3 Legumes (Chickpeas, Lentils, etc)",,
,,,,005.30 Oven,
,,,,005.31 Stovetop,
,,,,005.32 Grill,
,,,,005.33 Pressure Cook,
,,,,005.34 Slow Cooker,
,,,,005.35 Sous Vide,
,,,,005.36 Raw,
,,,005.4 Whole Grains (ex. Quinoa),,
,,,,005.40 Oven,
,,,,005.41 Stovetop,
,,,,005.42 Grill,
,,,,005.43 Pressure Cook,
,,,,005.44 Slow Cooker,
,,,,005.45 Sous Vide,
,,,,005.46 Raw,
,,006 Vegetables,,,
,01 Mexican/Tex Mex,,,,
,,010 Chicken,,,
,,,010.0 Breast,,
,,,,010.00 Oven,
,,,,010.01 Stovetop,
,,,,010.02 Grill,
,,,,010.03 Pressure Cook,
,,,,010.04 Slow Cooker,
,,,,010.05 Sous Vide,
,,,010.1 Thigh,,
,,,,010.00 Oven,
,,,,010.01 Stovetop,
,,,,010.02 Grill,
,,,,010.03 Pressure Cook,
,,,,010.04 Slow Cooker,
,,,,010.05 Sous Vide,
,,,010.2 Wing,,
,,,,010.00 Oven,
,,,,010.01 Stovetop,
,,,,010.02 Grill,
,,,,010.03 Pressure Cook,
,,,,010.04 Slow Cooker,
,,,,010.05 Sous Vide,
,,,010.3 Drumstick,,
,,,,010.00 Oven,
,,,,010.01 Stovetop,
,,,,010.02 Grill,
,,,,010.03 Pressure Cook,
,,,,010.04 Slow Cooker,
,,,,010.05 Sous Vide,
,,,010.4 Ground,,
,,,,010.00 Oven,
,,,,010.01 Stovetop,
,,,,010.02 Grill,
,,,,010.03 Pressure Cook,
,,,,010.04 Slow Cooker,
,,,,010.05 Sous Vide,
,,011 Beef,,,
,,,011.1 Skirt/Flank,,
,,,,011.10 Oven,
,,,,011.11 Stovetop,
,,,,011.12 Grill,
,,,,011.13 Pressure Cook,
,,,,011.14 Slow Cooker,
,,,,011.15 Sous Vide,
,,,011.2 Brisket,,
,,,,011.20 Oven,
,,,,011.21 Stovetop,
,,,,011.22 Grill,
,,,,011.23 Pressure Cook,
,,,,011.24 Slow Cooker,
,,,,011.25 Sous Vide,
,,,011.3 Round,,
,,,,011.30 Oven,
,,,,011.31 Stovetop,
,,,,011.32 Grill,
,,,,011.33 Pressure Cook,
,,,,011.34 Slow Cooker,
,,,,011.35 Sous Vide,
,,,011.4 Ground,,
,,,,011.40 Oven,
,,,,011.41 Stovetop,
,,,,011.42 Grill,
,,,,011.43 Pressure Cook,
,,,,011.44 Slow Cooker,
,,,,011.45 Sous Vide,
,,,011.5 Chuck,,
,,,,011.50 Oven,
,,,,011.51 Stovetop,
,,,,011.52 Grill,
,,,,011.53 Pressure Cook,
,,,,011.54 Slow Cooker,
,,,,011.55 Sous Vide,
,,,011.6 Loin,,
,,,,011.60 Oven,
,,,,011.61 Stovetop,
,,,,011.62 Grill,
,,,,011.63 Pressure Cook,
,,,,011.64 Slow Cooker,
,,,,011.65 Sous Vide,
,,012 Pork,,,
,,,012.0 Butt/Shoulder,,
,,,,012.00 Oven,
,,,,012.01 Stovetop,
,,,,012.02 Grill,
,,,,012.03 Pressure Cook,
,,,,012.04 Slow Cooker,
,,,,012.05 Sous Vide,
,,,012.1 Loin,,
,,,,012.10 Oven,
,,,,012.11 Stovetop,
,,,,012.12 Grill,
,,,,012.13 Pressure Cook,
,,,,012.14 Slow Cooker,
,,,,012.15 Sous Vide,
,,,012.2 Ribs,,
,,,,012.20 Oven,
,,,,012.21 Stovetop,
,,,,012.22 Grill,
,,,,012.23 Pressure Cook,
,,,,012.24 Slow Cooker,
,,,,012.25 Sous Vide,
,,,012.3 Tenderloin,,
,,,,012.30 Oven,
,,,,012.31 Stovetop,
,,,,012.32 Grill,
,,,,012.33 Pressure Cook,
,,,,012.34 Slow Cooker,
,,,,012.35 Sous Vide,
,,,012.4 Chop,,
,,,,012.40 Oven,
,,,,012.41 Stovetop,
,,,,012.42 Grill,
,,,,012.43 Pressure Cook,
,,,,012.44 Slow Cooker,
,,,,012.45 Sous Vide,
,,,012.5 Belly,,
,,,,012.50 Oven,
,,,,012.51 Stovetop,
,,,,012.52 Grill,
,,,,012.53 Pressure Cook,
,,,,012.54 Slow Cooker,
,,,,012.55 Sous Vide,
,,013 Fish,,,
,,,013.0 Salmon,,
,,,,013.00 Oven,
,,,,013.01 Stovetop,
,,,,013.02 Grill,
,,,,013.03 Pressure Cook,
,,,,013.04 Slow Cooker,
,,,,013.05 Sous Vide,
,,,,013.06 Raw,
,,,013.1 Tuna,,
,,,,013.10 Oven,
,,,,013.11 Stovetop,
,,,,013.12 Grill,
,,,,013.13 Pressure Cook,
,,,,013.14 Slow Cooker,
,,,,013.15 Sous Vide,
,,,,013.16 Raw,
,,,013.2 Cod,,
,,,,013.20 Oven,
,,,,013.21 Stovetop,
,,,,013.22 Grill,
,,,,013.23 Pressure Cook,
,,,,013.24 Slow Cooker,
,,,,013.25 Sous Vide,
,,,,013.26 Raw,
,,,013.3 Tilapia,,
,,,,013.30 Oven,
,,,,013.31 Stovetop,
,,,,013.32 Grill,
,,,,013.33 Pressure Cook,
,,,,013.34 Slow Cooker,
,,,,013.35 Sous Vide,
,,,,013.36 Raw,
,,,013.4 Swordfish,,
,,,,013.40 Oven,
,,,,013.41 Stovetop,
,,,,013.42 Grill,
,,,,013.43 Pressure Cook,
,,,,013.44 Slow Cooker,
,,,,013.45 Sous Vide,
,,,,013.46 Raw,
,,,013.5 Trout,,
,,,,013.50 Oven,
,,,,013.51 Stovetop,
,,,,013.52 Grill,
,,,,013.53 Pressure Cook,
,,,,013.54 Slow Cooker,
,,,,013.55 Sous Vide,
,,,,013.56 Raw,
,,014 Shelfish,,,
,,,014.0 Shrimp,,
,,,,014.00 Oven,
,,,,014.01 Stovetop,
,,,,014.02 Grill,
,,,,014.03 Pressure Cook,
,,,,014.04 Slow Cooker,
,,,,014.05 Sous Vide,
,,,,014.06 Raw,
,,,014.1 Crab,,
,,,,014.10 Oven,
,,,,014.11 Stovetop,
,,,,014.12 Grill,
,,,,014.13 Pressure Cook,
,,,,014.14 Slow Cooker,
,,,,014.15 Sous Vide,
